title,artist,duration_seconds,youtube_id,genres
סחרחורת,טונה,256,aFG7MR6ld1M,israeli-rap-hip-hop
הפינאלי,סאבלימינל והצל,231,Z760vU8ezg4,israeli-rap-hip-hop
תתקעו בחצוצרה,שקב ס,204,fQug2Rw7i7M,israeli-rap-hip-hop
תזהר ממנה,סאבלימינל & ליאור פרחי,218,mmjj_UXh7gg,israeli-rap-hip-hop
טורו,סאלימינל & אלון דה לוקו & איציק שמלי,252,QZiUtAuoCiQ,israeli-rap-hip-hop
One Day,Matisyahu,206,kS9uTiEY9ag,israeli-rap-hip-hop
זה בדם שלי,טדי נגוסה & יסמין מועלם,171,ajN_M2k_STM,israeli-pop
הכל ורוד,אפוקליפסה,317,3jSadX1SLCQ,israeli-rap-hip-hop
כלבויניקית,איזי,217,VrnMA9YinRY,israeli-pop
בין הבודדים,איזי,177,OqZKnR87v1g,israeli-pop
סבבה 5,פלד,216,T1Pe0Gxbx5c,israeli-rap-hip-hop
יהיה  בסדר,קפה שחור חזק & נצ'י נצ',266,PQp2a_yunmM,israeli-rap-hip-hop
שלח לי מלאך,ארקדי דוכין,146,7TG-zc1lm8M,israeli-cover
חוץ מכדורגל,חנן בן ארי & פאר טסי,284,4NKTH-TfTHQ,israeli-cover
שאריות של החיים,יובל דיין,112,IXuL4izCILw,israeli-cover
אור הירח,יסמין מועלם & טונה,208,ZYKxNokdn7M,israeli-cover
אחלום לנצח,פלד,171,4jIgPwIMkL0,israeli-cover
הביאו את הסתיו,נגה ארז,180,israeli-cover,
שיר של יום חולין,מאור כהן,230,jdl9g1w2HFo,israeli-cover
היהודים,אצלך בעולם,284,P6KnK0cVdhA,israeli-cover
אני גיטרה,דודו טסה,210,erGG9tlYbBk,israeli-cover
זה קורה,ישי לוי & רבקה זזר,240,cS77AV6Rlt4,israeli-cover
Eye In The Sky,The Alan Parsons Project,277,56hqrlQxMMI,rock
 I'm A Believer,Shrek,184,0mYBSayCsH0,soundtracks
 All Star,Shrek,236,L_jWHffIx5E,soundtracks
 Scotty Doesn't Know,EuroTrip,175,lcEkS9tcIjg,soundtracks
 The Good the Bad and the Ugly,The Good the Bad and the Ugly,175,J9EZGHcu3E8,soundtracks
 Umbrella,Rihanna ft. Jay-Z,276,xXD5tltX9Pg,pop
 Thank You,Dido,193,1TO48Cnl66w,pop
 White Flag,Dido,221,j-fWDrZSiZs,pop
Come Undone,Duran Duran,256,Y6BrVoWLF8o,rock
נפרדנו כך,אבנר גדסי,205,UV5KfJgtPgc,mizrahit
בלי לומר מילה,מטרופולין,232,WEL5aiU22h0,israeli-rock-pop
עטוף ברחמים,ריטה,314,jukYS4rCfEk,israeli-rock-pop
Crazr,נינט טייב ורד בנד,243,rE2EWYdXQFI,israeli-cover
יהודה יהודה,השמחות,185,663B3sxx2M8,mizrahit
Bring Me To Life,Evanescence,253,3YxaaGgTQYM,rock
Rocket Man,Elton John,277,fOWCoRr-wqc,rock
נאחז באוויר,גידי גוב,l-tRKBTJVE0,251,israeli-rock-pop
Dangerous Woman,Ariana Grande,236,WBMx99g8R9Y,pop
Another Love,Tom Odell,241,Jkj36B1YuDU,pop
Do I Wanna Know?,Arctic Monkeys,265,bpOSxM0rNPM,pop
רד בנד קאברים
I Wanna Be Yours,Arctic Monkeys,183,nyuo9-OjNNg,rock
שיר אהבה אינדיאני,עלמה זהר,248,QdWLvKHV9bY,israeli-rock-pop
Dog Days Are Over,Flores + The Machine,219,iWOyfLBYtuU,rock
Complicated,Avril Lavigne,243,5eGbnVlRcRg,rock
Sk8er Boi,Avril Lavigne,218,TIy3n2b7V9k,rock
Girlfriend,Avril Lavigne,227,Bg59q4puhmg,rock
All The Things She Said,t.A.T.u,213,zJBoTO6vZCc,rock
Toxic,Britney Spears,198,83AOwdfH1Z0,pop
Baby One More Time,Britney Spears,209,kAJz7c97Cyo,pop
Oops!... I Did It Again,Britney Spears,252,CduA0TULnow,pop
Shine On,R.I.O,202,OhLOOdI23bE,electronic
Closer,The Chainsmokers ft. Halsey,262,PT2_F-1esPk,electronic
This is What You Came For,Calvin Harris ft. Rihanna,229,ipLRRzJ9sWg,electronic
Summer,Calvin Harris,219,ZaAyTrhjK28,electronic
Africa,Toto,294,U1LB_OerHCE,rock
The Final Count Down,Europe,307,cZid3J36wH8,rock
Another One Bites The Dust,Queen,214,kwwaWVP2PGE,rock
Gangam Style,Psy,252,9bZkp7q19f0,pop
Numb,Linkin Park,185,8P0vKLHbtMg,rock
Killing In The Name,Rage Against The Machine,315,bWXazVhlyxQ,rock
With Or With Out You,U2,292,ujNeHIo7oTE,rock
Pumped Up Kicks,Foster The People,236,0DOv0-2yyfE,rock
Got My Mind Set On You,George Harrison,232,SuJuJA5k44Y,rock
Listen To Your Heart,Roxette,303,yCC_b5WHLX0,rock
September,Earth Wind & Fire,214,aqZxIL4YE2I,rock
Where Is The Love?,The Black Eyed Peas,251,WpYeekQkAdc,hip-hop
Single Ladies,Beyoncé,200,4m1EFMoRFvY,pop
Bohemian Rhapsody,Queen,359,fJ9rUzIMcZQ,rock
Under The Bridge,Red Hot Chili Peppers,265,8-tcdMwKnpQ,rock
Wonderwall,Oasis,258,FVdjZYfDuLE,rock
Don't Stop Me Now,Queen,210,MHi9mKq0slA,rock
In The End,Linkin Park,215,d_toKURCt10,rock
Back In Black,AC/DC,255,rrim6_9VSeM,rock
Smell Like Teen Spirit,Nirvana,301,69Wqhhun5_o,rock
Under Pressure,Queen & David Bowie,248,EZ8ixdXRCOo,rock
Every Breath You Take,The Police,239,OMOGaugKpzs,rock
Californiacation,Red Hot Chili Peppers,321,6L0LIo35sF4,rock
Sweet Home Alabama,Lynyrd Skynyrd,283,-p8GXZcdrIk,rock
Last Resort,Papa Roach,198,j0lSpNtjPM8,rock
Iris,Goo Goo Dolls,289,xK4ZqrLys_k,rock
Boulevard of Broken Dreams,Green Day,262,hBvJyi3fbtA,rock
Sex Is On Fire,Kings of Leon,202,RF0HhrwIwp0,rock
It's My Life,Bon Jovi,224,2AB-ieB0sTg,rock
Creep,Radiohead,238,fAuT8_dboWo,rock
Feel Good,Gorillaz,239,IbpOfzrNjTY,rock
Enter Sandman,Metallica,331,XZuM4zFg-60,rock
Nothing Else Matters,Metallica,388,tAGnKpE4NCI,rock
Have You Ever Seen The Rain?,Creedence Clearwater Revival,186,u1V8YRJnr4Q,rock
Dreams,Fleetwood Mac,257,5oWyMakvQew,rock
Welcome To The Jungle,Guns N' Roses,274,9erLsEHAZRI,rock
Sultan's of Swing,Dire Straits,346,0fAQhSRLQnM,rock
I Don't wan't to Miss a Thing,Armageddon,295,Jz8TZrGAoiU,soundtracks
I'm Gonna Be (500 Miles),How I Met Your Mother,219,aJ9usrpAPao,soundtracks
Welcome To The Black Parade,My Chemical Romance,312,RRKJiM9Njr8,rock
Basket Case,Green Day,183,NUTGr5t3MoY,rock
In the Shadows,The Rasmus,220,_ao2u7F_Qzg,rock
Grace Kelly,Mika,219,0CGVgAYJyjk,pop
Relax - Take It Easy,Mika,231,RVmG_d3HKBA,pop
Love Today,Mika,219,AWiccrTB4LM,pop
Lollipop,Mika,219,6md5RSnVUuo,pop
Faded,Alan Walker,212,60ItHLz5WEA,electronic
Stereo Love,Edward Maya & Vika Jigulina,227,sCfdE36OPsU,electronic
Chandelier,Sia,216,2vjPBrBU-TM,pop
Just Give Me a Reason,P!nk,242,gvpOCm2HF0g,pop
Wrecking Ball,Miley Cyrus,219,SjiA0OmE8zc,pop
Messy,Lola Young,264,k-k2_Liofy8,pop
We Can't Stop,Miley Cyrus,223,abYvzShMIS8,pop
Grenade,Bruno Mars,223,4YrzJ9RZ9qY,pop
Party In The U.S.A,Miley Cyrus,200,vA2Lc9c3qN0,pop
TiK ToK,Ke$ha,219,OF04pKp-r9o,pop
Don't Matter,Akon,229,JWA5hJl4Dv0,hip-hop
Lonely,Akon,202,JISlh7et1w4,hip-hop
Smack That,Akon ft. Eminem,243,bKDdT_nyP54,hip-hop
